stories_id,publish_date,title,url,language,ap_syndicated,themes,subtopics,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
713238223,##########,Report: Congressional Investigators Want To Talk To Trump’s Secretary About Trump Tower Meeting,http://dailycaller.com/2017/08/11/report-congressional-investigators-want-to-talk-to-trumps-secretary-about-trump-tower-meeting/,en,FALSE,"politics and government, united states politics and government",,0,9,1,0,18775,Daily Caller,http://dailycaller.com
658738116,##########,Former Spy Says Don Jr Meeting &#8216;Was Indeed A Kremlin Operation&#8217;,http://dailycaller.com/2017/07/17/former-spy-says-don-jr-meeting-was-indeed-a-kremlin-operation/,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations, espionage",,0,13,0,0,18775,Daily Caller,http://dailycaller.com
656159466,##########,Trump&#8217;s Lawyer Says Donald Jr.&#8217;s Meeting With Russian Was Legal [VIDEO],http://dailycaller.com/2017/07/12/trumps-lawyer-says-donald-jr-s-meeting-with-russian-was-legal-video/,en,FALSE,"politics and government, united states politics and government, elections, presidents and presidency (us)",,0,9,0,0,18775,Daily Caller,http://dailycaller.com
682827218,##########,Russian-American Lobbyist Grilled By Mueller&#8217;s Grand Jury,http://dailycaller.com/2017/08/31/russian-american-lobbyist-grilled-by-muellers-grand-jury/,en,FALSE,"politics and government, united states politics and government, lobbying and lobbyists, armament, defense and military forces, ethics",,0,1,1,0,18775,Daily Caller,http://dailycaller.com
713243037,##########,"Scarborough Rips Don Jr. Over Tweet, ‘Guess It Runs In The Family’ [VIDEO]",http://dailycaller.com/2017/07/11/scarborough-rips-don-jr-over-tweet-guess-it-runs-in-the-family-video/,en,FALSE,"politics and government, united states politics and government, news and news media, media",,0,1128,2,0,18775,Daily Caller,http://dailycaller.com
664790698,##########,Donald Trump Jr. Faces Nonsensical Attacks,http://dailycaller.com/2017/07/27/donald-trump-jr-faces-nonsensical-attacks/,en,FALSE,"politics and government, united states politics and government, elections, news and news media, media, ethics",,0,5562,3,0,18775,Daily Caller,http://dailycaller.com
697906333,##########,Here’s What We Know About The Suspected Ex-Soviet Intel Officer Who Attended Trump Tower Meeting,http://dailycaller.com/2017/07/14/heres-what-we-know-about-the-suspected-ex-soviet-intel-officer-who-attended-trump-tower-meeting/,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations, espionage",,0,264,6,0,18775,Daily Caller,http://dailycaller.com
682827232,##########,Russian Lobbyist At Trump Tower Meeting Has Reportedly Testified Before Mueller&#8217;s Grand Jury,http://dailycaller.com/2017/08/31/russian-lobbyist-at-trump-tower-meeting-has-reportedly-testified-before-muellers-grand-jury/,en,FALSE,"politics and government, united states politics and government, elections, lobbying and lobbyists, armament, defense and military forces, ethics, united states armament and defense, united states international relations, international relations",,0,720,1,0,18775,Daily Caller,http://dailycaller.com
656173395,##########,Does The Steele Dossier Describe What Happened In Trump Tower Meeting?,http://dailycaller.com/2017/07/12/does-the-steele-dossier-describe-what-happened-in-trump-tower-meeting/,en,FALSE,politics and government,,0,13,0,0,18775,Daily Caller,http://dailycaller.com
659971843,##########,"How to Get To The Bottom Of Things, Washington-Style",http://dailycaller.com/2017/07/19/how-to-get-to-the-bottom-of-things-washington-style/,en,FALSE,"politics and government, finances, united states politics and government, editorials",,0,15,2,0,18775,Daily Caller,http://dailycaller.com
713226446,##########,Sen. Grassley: Fusion GPS Founder Has Agreed To Discuss Trump Dossier,http://dailycaller.com/2017/07/26/sen-grassley-fusion-gps-founder-has-agreed-to-discuss-trump-dossier/,en,FALSE,"politics and government, finances, united states politics and government, news and news media, media, ethics",,0,27,0,0,18775,Daily Caller,http://dailycaller.com
655759405,##########,Rep. Schiff Speculates On &#8216;Quid Pro Quo&#8217; Between Trump Jr. And Russia [VIDEO],http://dailycaller.com/2017/07/11/rep-schiff-speculates-on-quid-pro-quo-between-trump-jr-and-russia-video/,en,FALSE,"politics and government, law and legislation, united states politics and government, armament, defense and military forces, united states international relations, international relations, freedom and human rights",,0,26,0,0,18775,Daily Caller,http://dailycaller.com
